,value,month,year,change
1,4238.49,6,2021,0.01885442853372965
2,4167.85,5,2021,0.016666312767046665
3,4141.18,4,2021,0.006398982688916366
4,3910.51,3,2021,0.05570151502711784
5,3883.43,2,2021,0.006924927950574311
6,3793.75,1,2021,0.023092987384863317
7,3695.31,12,2020,0.025947940691927518
8,3548.99,11,2020,0.039596136724659114
9,3418.7,10,2020,0.03671185323148274
10,3365.52,9,2020,0.015555620557521799
11,3391.71,8,2020,-0.0077818583755260295
12,3207.62,7,2020,0.05427645641873868
13,3104.66,6,2020,0.03209856529139987
14,2919.61,5,2020,0.05960395019100306
15,2761.98,4,2020,0.05399008771719516
16,2652.39,3,2020,0.03967805704603222
17,3277.31,2,2020,-0.23560637764431336
18,3278.2,1,2020,-0.0002715641791590784
19,3176.75,12,2019,0.030946861082301158
20,3104.9,11,2019,0.022617454946092685
21,2977.68,10,2019,0.040973944410448104
22,2982.16,9,2019,-0.0015045270143199119
23,2897.5,8,2019,0.028388818842717933
24,2996.11,7,2019,-0.034032786885245914
25,2890.17,6,2019,0.03535918240652047
26,2854.71,5,2019,0.012269174477625877
27,2903.8,4,2019,-0.017196142515351953
28,2803.98,3,2019,0.03437564570562712
29,2754.86,2,2019,0.017517956618806063
30,2607.39,1,2019,0.05353085093253385
31,2567.31,12,2018,0.015371693532613029
32,2723.23,11,2018,-0.06073282930382384
33,2785.46,10,2018,-0.022851540266521697
34,2901.5,9,2018,-0.04165918735146068
35,2857.82,8,2018,0.015054282267792485
36,2793.64,7,2018,0.02245767753042538
37,2754.35,6,2018,0.01406408842943252
38,2701.49,5,2018,0.019191460780220382
39,2653.63,4,2018,0.01771614923616216
40,2702.77,3,2018,-0.01851803001925667
41,2705.16,2,2018,-0.0008842779814781654
42,2789.8,1,2018,-0.03128835262978913
43,2664.34,12,2017,0.044970965660620865
44,2593.61,11,2017,0.02654691218087779
45,2557.0,10,2017,0.014115460689926418
46,2492.84,9,2017,0.025091904575674562
47,2456.22,8,2017,0.014690072367259943
48,2454.1,7,2017,0.0008631148675606326
49,2433.99,6,2017,0.008194450103907847
50,2395.35,5,2017,0.015875167934132794
51,2359.31,4,2017,0.015045817938923345
52,2366.82,3,2017,-0.0031831340519050677
53,2329.91,2,2017,0.015594764282877538
54,2275.12,1,2017,0.0235159297998635
55,2246.63,12,2016,0.012522416400013947
56,2164.99,11,2016,0.036338871999394784
57,2143.02,10,2016,0.01014785287691855
58,2157.69,9,2016,-0.006845479743539551
59,2170.95,8,2016,-0.006145461118140183
60,2148.9,7,2016,0.010156843778069358
61,2083.89,6,2016,0.03025268742147158
62,2065.55,5,2016,0.008800848413303863
63,2075.54,4,2016,-0.004836484229381988
64,2021.95,3,2016,0.025819786657929944
65,1904.42,2,2016,0.05812705556517217
66,1918.6,1,2016,-0.007445836527656624
67,2054.08,12,2015,-0.07061398936724705
68,2080.62,11,2015,-0.012920626265773505
69,2024.81,10,2015,0.026823735232767154
70,1944.41,9,2015,0.03970742933904903
71,2039.87,8,2015,-0.04909458396120159
72,2094.14,7,2015,-0.02660463656997747
73,2099.29,6,2015,-0.002459243412570311
74,2111.94,5,2015,-0.006025846833929593
75,2094.86,4,2015,0.00808735096641
76,2079.99,3,2015,0.007098326379806008
77,2082.2,2,2015,-0.001062505108197609
78,2028.18,1,2015,0.025943713380078615
79,2054.27,12,2014,-0.012863749765799737
80,2044.57,11,2014,0.004721872003193406
81,1937.27,10,2014,0.052480472666624256
82,1993.23,9,2014,-0.02888600969405397
83,1961.53,8,2014,0.015903834479713885
84,1973.1,7,2014,-0.0058984568168725104
85,1947.09,6,2014,0.013182301961380594
86,1889.77,5,2014,0.02943880354785855
87,1864.26,4,2014,0.013498997232467391
88,1863.52,3,2014,0.00039694034093962216
89,1817.04,2,2014,0.024942045161844284
90,1822.36,1,2014,-0.0029278386826927516
91,1807.78,12,2013,0.008000614587677424
92,1783.54,11,2013,0.013408711236986837
93,1720.03,10,2013,0.0356089574666113
94,1687.17,9,2013,0.01910431794794276
95,1670.09,8,2013,0.010123461180556848
96,1668.68,7,2013,0.000844265877886774
97,1618.77,6,2013,0.029909868878394974
98,1639.84,5,2013,-0.013016055400087767
99,1570.7,4,2013,0.04216265001463548
100,1550.83,3,2013,0.01265041064493544
101,1512.31,2,2013,0.02483831238756018
102,1480.4,1,2013,0.02110017126118313
103,1422.29,12,2012,0.03925290462037301
104,1394.51,11,2012,0.01953188168376352
105,1437.82,10,2012,-0.031057504069529784
106,1443.42,9,2012,-0.003894785160868608
107,1403.45,8,2012,0.0276911778969392
108,1359.78,7,2012,0.031116177989953364
109,1323.48,6,2012,0.026695494859462543
110,1341.27,5,2012,-0.013441835161845939
111,1386.43,4,2012,-0.033669581814250726
112,1389.24,3,2012,-0.002026788225875098
113,1352.49,2,2012,0.02645331260257411
114,1300.58,1,2012,0.03838106011874398
115,1243.32,12,2011,0.044026511248827394
116,1226.42,11,2011,0.013592639063153333
117,1207.22,10,2011,0.015655321994096694
118,1173.88,9,2011,0.027617170027004145
119,1185.31,8,2011,-0.009736940743517053
120,1325.19,7,2011,-0.11801132193265906
121,1287.29,6,2011,0.02859967249979256
122,1338.31,5,2011,-0.03963364898352362
123,1331.51,4,2011,0.005081035036725412
124,1304.49,3,2011,0.020292750336084575
125,1321.12,2,2011,-0.012748277104462247
126,1282.62,1,2011,0.029141940171975245
127,1241.53,12,2010,0.032035988835352525
128,1198.89,11,2010,0.03434471982151044
129,1171.58,10,2010,0.022779404282294635
130,1122.08,9,2010,0.04225063589340894
131,1087.28,8,2010,0.03101383145586767
132,1079.8,7,2010,0.006879552645132847
133,1083.36,6,2010,-0.003296906834598934
134,1125.06,5,2010,-0.038491360212671744
135,1197.32,4,2010,-0.06422768563454384
136,1152.05,3,2010,0.03780944108508999
137,1089.16,2,2010,0.054589644546677585
138,1123.58,1,2010,-0.03160233574497773
139,1110.38,12,2009,0.01174816212463714
140,1088.07,11,2009,0.020092220681208417
141,1067.66,10,2009,0.01875798432086162
142,1044.55,9,2009,0.021645467658243378
143,1009.73,8,2009,0.03333492891675838
144,935.82,7,2009,0.07319778554663126
145,926.12,6,2009,0.010365241178859286
146,902.41,5,2009,0.02560143393944636
147,848.15,4,2009,0.06012787978856615
148,757.13,3,2009,0.107315922890998
149,805.23,2,2009,-0.0635293806875965
150,865.58,1,2009,-0.07494753051923064
151,877.56,12,2008,-0.013840430693869976
152,883.04,11,2008,-0.0062445872646885725
153,968.8,10,2008,-0.09711904330494647
154,1216.95,9,2008,-0.2561416184971099
155,1281.47,8,2008,-0.05301779037758325
156,1257.33,7,2008,0.018837741031783928
157,1341.25,6,2008,-0.06674460960925144
158,1403.22,5,2008,-0.04620316868592722
159,1370.47,4,2008,0.023339177035675118
160,1316.94,3,2008,0.03905959269447701
161,1354.87,2,2008,-0.028801615867085628
162,1378.76,1,2008,-0.01763268800696749
163,1479.22,12,2007,-0.07286257216629433
164,1463.39,11,2007,0.010701585970984695
165,1539.66,10,2007,-0.052118710664962764
166,1497.12,9,2007,0.027629476637699324
167,1454.62,8,2007,0.0283878379822593
168,1520.71,7,2007,-0.045434546479492965
169,1514.19,6,2007,0.004287470983948327
170,1511.14,5,2007,0.0020142782609844367
171,1463.64,4,2007,0.03143322260015613
172,1406.95,3,2007,0.03873220190757298
173,1444.8,2,2007,-0.02690216425601477
174,1424.16,1,2007,0.014285714285714235
175,1416.42,12,2006,0.005434782608695676
176,1388.64,11,2006,0.01961282670394371
177,1363.38,10,2006,0.01819045973038369
