date,value
Jul-2021,4319.94
Jun-2021,4238.49
May-2021,4167.85
Apr-2021,4141.18
Mar-2021,3910.51
Feb-2021,3883.43
Jan-2021,3793.75
Dec-2020,3695.31
Nov-2020,3548.99
Oct-2020,3418.70
Sep-2020,3365.52
Aug-2020,3391.71
Jul-2020,3207.62
Jun-2020,3104.66
May-2020,2919.61
Apr-2020,2761.98
Mar-2020,2652.39
Feb-2020,3277.31
Jan-2020,3278.20
Dec-2019,3176.75
Nov-2019,3104.90
Oct-2019,2977.68
Sep-2019,2982.16
Aug-2019,2897.50
Jul-2019,2996.11
Jun-2019,2890.17
May-2019,2854.71
Apr-2019,2903.80
Mar-2019,2803.98
Feb-2019,2754.86
Jan-2019,2607.39
Dec-2018,2567.31
Nov-2018,2723.23
Oct-2018,2785.46
Sep-2018,2901.50
Aug-2018,2857.82
Jul-2018,2793.64
Jun-2018,2754.35
May-2018,2701.49
Apr-2018,2653.63
Mar-2018,2702.77
Feb-2018,2705.16
Jan-2018,2789.80
Dec-2017,2664.34
Nov-2017,2593.61
Oct-2017,2557.00
Sep-2017,2492.84
Aug-2017,2456.22
Jul-2017,2454.10
Jun-2017,2433.99
May-2017,2395.35
Apr-2017,2359.31
Mar-2017,2366.82
Feb-2017,2329.91
Jan-2017,2275.12
Dec-2016,2246.63
Nov-2016,2164.99
Oct-2016,2143.02
Sep-2016,2157.69
Aug-2016,2170.95
Jul-2016,2148.90
Jun-2016,2083.89
May-2016,2065.55
Apr-2016,2075.54
Mar-2016,2021.95
Feb-2016,1904.42
Jan-2016,1918.60
Dec-2015,2054.08
Nov-2015,2080.62
Oct-2015,2024.81
Sep-2015,1944.41
Aug-2015,2039.87
Jul-2015,2094.14
Jun-2015,2099.29
May-2015,2111.94
Apr-2015,2094.86
Mar-2015,2079.99
Feb-2015,2082.20
Jan-2015,2028.18
Dec-2014,2054.27
Nov-2014,2044.57
Oct-2014,1937.27
Sep-2014,1993.23
Aug-2014,1961.53
Jul-2014,1973.10
Jun-2014,1947.09
May-2014,1889.77
Apr-2014,1864.26
Mar-2014,1863.52
Feb-2014,1817.04
Jan-2014,1822.36
Dec-2013,1807.78
Nov-2013,1783.54
Oct-2013,1720.03
Sep-2013,1687.17
Aug-2013,1670.09
Jul-2013,1668.68
Jun-2013,1618.77
May-2013,1639.84
Apr-2013,1570.70
Mar-2013,1550.83
Feb-2013,1512.31
Jan-2013,1480.40
Dec-2012,1422.29
Nov-2012,1394.51
Oct-2012,1437.82
Sep-2012,1443.42
Aug-2012,1403.45
Jul-2012,1359.78
Jun-2012,1323.48
May-2012,1341.27
Apr-2012,1386.43
Mar-2012,1389.24
Feb-2012,1352.49
Jan-2012,1300.58
Dec-2011,1243.32
Nov-2011,1226.42
Oct-2011,1207.22
Sep-2011,1173.88
Aug-2011,1185.31
Jul-2011,1325.19
Jun-2011,1287.29
May-2011,1338.31
Apr-2011,1331.51
Mar-2011,1304.49
Feb-2011,1321.12
Jan-2011,1282.62
Dec-2010,1241.53
Nov-2010,1198.89
Oct-2010,1171.58
Sep-2010,1122.08
Aug-2010,1087.28
Jul-2010,1079.80
